place_id,place_name,review_id,reviewer_name,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,reviewer_url,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJvQzF7il3hlQRvUu3Pxw0SOU,The Home Depot,ChZDSUhNMG9nS0VJQ0FnSUNSNDRPdUhnEAE,Victor Law,5,"I came to this Home Depot to get parts to fix a gutter. I didnt know much, so I approached the team member in the aisle. He was very helpful and gave me some good tips. I managed to get the job done. Home Depot always has better prices than other hardware stores, so I tend to go to Home Depot before anywhere else.",7 months ago,2023-04-18 21:37:03.001346,,,,0,597,44022,https://www.google.com/maps/contrib/104609121824445017950/reviews?entry=ttu,True,,
ChIJvQzF7il3hlQRvUu3Pxw0SOU,The Home Depot,ChdDSUhNMG9nS0VJQ0FnSUNKaF9mWGp3RRAB,lisa s,5,"Bought Artika light bars online from home Depot - loved it so much I got 2! Perfect lighting for make up - even works on a dimmer. Pictures dont do it justice, its hard to decipher the glam level unless viewed in person. Liberace would be proud!",4 months ago,2023-07-18 21:37:03.005741,,,,0,37,22,https://www.google.com/maps/contrib/112362958934538954888/reviews?entry=ttu,True,,
ChIJvQzF7il3hlQRvUu3Pxw0SOU,The Home Depot,ChdDSUhNMG9nS0VJQ0FnSURaaU52V3Z3RRAB,ravi singh,5,Staffs are really helpful and friendly and more surprisingly have enough patience. I was there looking for hinges or something which could hold mirror on wall. As I was trying to look for it but could not find then approached one of employee who was busy doing her part. She tried to help me all way.well I don t remember her name but she had courtesy to help customer patiently. I would like to visit this place again.,a month ago,2023-10-18 21:37:03.007790,,,,0,21,213,https://www.google.com/maps/contrib/118159165876771599416/reviews?entry=ttu,True,,
ChIJvQzF7il3hlQRvUu3Pxw0SOU,The Home Depot,ChZDSUhNMG9nS0VJQ0FnSUNKMzdEZ0FnEAE,Red Meg.,5,"Wonderful experience, thanks to Mr VIRAL for his kind and outstanding customer service. I fond a lot of options with various prices   :)",4 months ago,2023-07-18 21:37:03.009642,,,,0,49,78,https://www.google.com/maps/contrib/113607790472671896899/reviews?entry=ttu,True,,
ChIJvQzF7il3hlQRvUu3Pxw0SOU,The Home Depot,ChdDSUhNMG9nS0VJQ0FnSUQ0c2JERTBBRRAB,ulearn,5,"One individual stood out among the rest - Scott, whose exceptional customer service skills shone through at Home Depots Henning location. When I couldnt find the desired 24 x 48 corrugated plastic sheets due to their unavailability, Scott came to my rescue. Despite only having larger 48 x 96 sheets in stock, he willingly offered to cut one in half for me, even though I didnt have any tools with me. Scotts helpfulness was refreshing, especially after encountering three other unhelpful employees. As my young daughter astutely pointed out, Scott was the only staff member who made us feel truly welcome. The management team at Home Depot should acknowledge and appreciate employees like Scott, as his outstanding customer service sets an example for his peers to follow.",5 months ago,2023-06-18 21:37:03.011411,,,,1,145,376,https://www.google.com/maps/contrib/110192453260705995943/reviews?entry=ttu,True,,
ChIJvQzF7il3hlQRvUu3Pxw0SOU,The Home Depot,ChdDSUhNMG9nS0VJQ0FnSUNaaWF5YmdRRRAB,Ivan Kens,5,"I absolutely love the events HomeDepot organizes for kids. After attending, my daughter is always in a fantastic mood, which lets me shop in peace. The store layout is intuitive, and Ive never had issues finding what I needed. I also want to give a shoutout to the staff at tool rentals theyve been super helpful and truly deserve recognition!",2 months ago,2023-09-18 21:37:03.013162,,,,0,3,8,https://www.google.com/maps/contrib/105121976944082091502/reviews?entry=ttu,True,,
ChIJvQzF7il3hlQRvUu3Pxw0SOU,The Home Depot,ChZDSUhNMG9nS0VJQ0FnSUNwX3FiNkd3EAE,Mark Song,5,We recently did a small project in our home. We were helped by Kelly Zhao from the kitchen department. She was outstanding. Very patient and professional. Took her time to explain everything to us. We very much appreciate her help. Its very rare in this day and age to find such exceptional customer service.,3 months ago,2023-08-18 21:37:03.014767,,,,0,12,,https://www.google.com/maps/contrib/102930818994160115412/reviews?entry=ttu,False,,
ChIJvQzF7il3hlQRvUu3Pxw0SOU,The Home Depot,ChdDSUhNMG9nS0VJQ0FnSURab083am5RRRAB,Kai MacDonnell,5,My safe space where I go to escape the horrors of everyday reality. I wish I could live in the store. Build a home from all the materials in the corner. Live off the plants. Nothing makes me happier than filling a bag with slightly differently sized nails.,a month ago,2023-10-18 21:37:03.016444,,,,1,42,42,https://www.google.com/maps/contrib/106851509928552615332/reviews?entry=ttu,True,,
ChIJvQzF7il3hlQRvUu3Pxw0SOU,The Home Depot,ChZDSUhNMG9nS0VJQ0FnSUNtOVppcE5nEAE,Ember N,5,"i have been here sooo many times to just buy screws, nuts, bolts, shovels, bulbs, paint, batteries, drills, tapes, paint cloths, paint sprays, cleaning sprays, mop, orchid soil, etc...and everytime i ask someone they always have something to teach me BUT not everyone is good at explaining even if they are somewhat knowledgeable. and granted that I always do my extensive research to the point that I already know what i need, im glad i can cross check their facts as well...and so far i trust them. return policy is also awesome! i can try items out without worrying if i will keep it if i dont like it. they even have a washroom, self checkout, email receipts, and such. probably the only negative part is that its a bit cold here because its more like a warehouse because ALL of the items are stocked on the shelves. will always come back here. its a very convenient place. always call ahead if you are thinking of final purchase what you saw online. most of the time online item count is correct BUT there is always customers picking items off the shelves and roaming around with it.",a year ago,2022-11-18 21:37:03.018201,,,,2,405,5588,https://www.google.com/maps/contrib/115532108640645439026/reviews?entry=ttu,True,,
ChIJvQzF7il3hlQRvUu3Pxw0SOU,The Home Depot,ChdDSUhNMG9nS0VJQ0FnSUNGamRmdnd3RRAB,Lindsey,5,Excellent customer service! There is a wonderful lady (Alison I think?) that works the self checkouts and she is the best!,2 weeks ago,2023-11-04 21:37:03.019847,,,,0,3,,https://www.google.com/maps/contrib/104796907137688874110/reviews?entry=ttu,False,,
ChIJvQzF7il3hlQRvUu3Pxw0SOU,The Home Depot,ChdDSUhNMG9nS0VJQ0FnSUQ1aFBlQXlBRRAB,Mohammad Bahri,5,Everything about tools you can find in this area,4 weeks ago,2023-10-21 21:37:03.636970,,,,0,4,30,https://www.google.com/maps/contrib/106906667293746695874/reviews?entry=ttu,True,,
ChIJvQzF7il3hlQRvUu3Pxw0SOU,The Home Depot,ChdDSUhNMG9nS0VJQ0FnSUQ1aUotczN3RRAB,Jaideep Mullick,5,First time in a home Depot. Found exactly what I needed. Staff was helpful. They even had sections to use their own tools to cut items as per needed,4 weeks ago,2023-10-21 21:37:03.639191,,,,0,120,63,https://www.google.com/maps/contrib/110254787712379961242/reviews?entry=ttu,True,,
ChIJvQzF7il3hlQRvUu3Pxw0SOU,The Home Depot,ChdDSUhNMG9nS0VJQ0FnSURwbGRQUjZBRRAB,Faeze Karimipanah,5,"I had an order pick up.Mohamad Latif brought it. He was very nice, helpful. My order didnt fit in my car. He took it back in and gave me helpful suggestiob of how to pick up later. At the end with his great patience and help I could take my order home. He went above and beyond to do his job well. I would always shop at home depot when there are people like Mohamad Latif working there.",2 months ago,2023-09-18 21:37:03.641259,,,,0,7,8,https://www.google.com/maps/contrib/114684473340373443906/reviews?entry=ttu,False,,
